~iteration~,lr
0,0.0001
50,0.0001
100,0.0001
146,0.0001
196,0.0001
246,0.0001
292,0.0001
342,0.0001
392,0.0001
438,0.0001
488,0.0001
538,0.0001
584,0.0001
634,0.0001
684,0.0001
730,0.0001
780,0.0001
830,0.0001
876,0.0001
926,0.0001
976,0.0001
1022,0.0001
1072,0.0001
1122,0.0001
1168,0.0001
1218,0.0001
1268,0.0001
1314,0.0001
1364,0.0001
1414,0.0001
1460,0.0001
1510,0.0001
1560,0.0001
1606,0.0001
1656,0.0001
1706,0.0001
1752,0.0001
1802,0.0001
1852,0.0001
1898,0.0001
1948,0.0001
1998,0.0001
2044,0.0001
2094,0.0001
2144,0.0001
2190,0.0001
2240,0.0001
2290,0.0001
2336,0.0001
2386,0.0001
2436,0.0001
2482,0.0001
2532,0.0001
2582,0.0001
2628,0.0001
2678,0.0001
2728,0.0001
2774,0.0001
2824,0.0001
2874,0.0001
2920,0.0001
2970,0.0001
3020,0.0001
3066,0.0001
3116,0.0001
3166,0.0001
3212,0.0001
3262,0.0001
3312,0.0001
3358,0.0001
3408,0.0001
3458,0.0001
3504,0.0001
3554,0.0001
3604,0.0001
3650,0.0001
3700,0.0001
3750,0.0001
3796,0.0001
3846,0.0001
3896,0.0001
3942,0.0001
3992,0.0001
4042,0.0001
4088,0.0001
4138,0.0001
4188,0.0001
4234,0.0001
4284,0.0001
4334,0.0001
4380,0.0001
4430,0.0001
4480,0.0001
4526,0.0001
4576,0.0001
4626,0.0001
4672,0.0001
4722,0.0001
4772,0.0001
4818,0.0001
4868,0.0001
4918,0.0001
4964,0.0001
5014,0.0001
5064,0.0001
5110,0.0001
5160,0.0001
5210,0.0001
5256,0.0001
5306,0.0001
5356,0.0001
5402,0.0001
5452,0.0001
5502,0.0001
5548,0.0001
5598,0.0001
5648,0.0001
5694,0.0001
5744,0.0001
5794,0.0001
5840,0.0001
5890,0.0001
5940,0.0001
