~iteration~,lr
0,1e-05
50,1e-05
100,1e-05
146,1e-05
196,1e-05
246,1e-05
292,1e-05
342,1e-05
392,1e-05
438,1e-05
488,1e-05
538,1e-05
584,1e-05
634,1e-05
684,1e-05
730,1e-05
780,1e-05
830,1e-05
876,1e-05
926,1e-05
976,1e-05
1022,1e-05
1072,1e-05
1122,1e-05
1168,1e-05
1218,1e-05
1268,1e-05
1314,1e-05
1364,1e-05
1414,1e-05
1460,1e-05
1510,1e-05
1560,1e-05
1606,1e-05
1656,1e-05
1706,1e-05
1752,1e-05
1802,1e-05
1852,1e-05
1898,1e-05
1948,1e-05
1998,1e-05
2044,1e-05
2094,1e-05
2144,1e-05
2190,1e-05
2240,1e-05
2290,1e-05
2336,1e-05
2386,1e-05
2436,1e-05
2482,1e-05
2532,1e-05
2582,1e-05
2628,1e-05
2678,1e-05
2728,1e-05
2774,1e-05
2824,1e-05
2874,1e-05
2920,1e-05
2970,1e-05
3020,1e-05
3066,1e-05
3116,1e-05
3166,1e-05
3212,1e-05
3262,1e-05
3312,1e-05
3358,1e-05
3408,1e-05
3458,1e-05
3504,1e-05
3554,1e-05
3604,1e-05
3650,1e-05
3700,1e-05
3750,1e-05
3796,1e-05
3846,1e-05
3896,1e-05
3942,1e-05
3992,1e-05
4042,1e-05
4088,1e-05
4138,1e-05
4188,1e-05
4234,1e-05
4284,1e-05
4334,1e-05
4380,1e-05
4430,1e-05
4480,1e-05
4526,1e-05
4576,1e-05
4626,1e-05
4672,1e-05
4722,1e-05
4772,1e-05
4818,1e-05
4868,1e-05
4918,1e-05
4964,1e-05
5014,1e-05
5064,1e-05
5110,1e-05
5160,1e-05
5210,1e-05
5256,1e-05
5306,1e-05
5356,1e-05
