~iteration~,metric_loss,total_loss
0,1,1
50,1,1
100,1,1
146,1,1
196,1,1
246,1,1
292,1,1
342,1,1
392,1,1
438,1,1
488,1,1
538,1,1
584,1,1
634,1,1
684,1,1
730,1,1
780,1,1
830,1,1
876,1,1
926,1,1
976,1,1
1022,1,1
1072,1,1
1122,1,1
1168,1,1
1218,1,1
1268,1,1
1314,1,1
1364,1,1
1414,1,1
1460,1,1
1510,1,1
1560,1,1
1606,1,1
1656,1,1
1706,1,1
1752,1,1
1802,1,1
1852,1,1
1898,1,1
1948,1,1
1998,1,1
2044,1,1
2094,1,1
2144,1,1
2190,1,1
2240,1,1
2290,1,1
2336,1,1
2386,1,1
2436,1,1
2482,1,1
2532,1,1
2582,1,1
2628,1,1
2678,1,1
2728,1,1
2774,1,1
2824,1,1
2874,1,1
2920,1,1
2970,1,1
3020,1,1
3066,1,1
3116,1,1
3166,1,1
3212,1,1
3262,1,1
3312,1,1
3358,1,1
3408,1,1
3458,1,1
3504,1,1
3554,1,1
3604,1,1
3650,1,1
3700,1,1
3750,1,1
3796,1,1
3846,1,1
3896,1,1
3942,1,1
3992,1,1
4042,1,1
4088,1,1
4138,1,1
4188,1,1
4234,1,1
4284,1,1
4334,1,1
4380,1,1
4430,1,1
4480,1,1
4526,1,1
4576,1,1
4626,1,1
4672,1,1
4722,1,1
4772,1,1
4818,1,1
4868,1,1
4918,1,1
4964,1,1
5014,1,1
5064,1,1
5110,1,1
5160,1,1
5210,1,1
5256,1,1
5306,1,1
5356,1,1
5402,1,1
5452,1,1
5502,1,1
5548,1,1
5598,1,1
5648,1,1
5694,1,1
5744,1,1
5794,1,1
5840,1,1
5890,1,1
5940,1,1
5986,1,1
6036,1,1
6086,1,1
6132,1,1
6182,1,1
6232,1,1
6278,1,1
6328,1,1
6378,1,1
6424,1,1
6474,1,1
6524,1,1
