~iteration~,p,power
0,2,1
50,2,1
100,2,1
146,2,1
196,2,1
246,2,1
292,2,1
342,2,1
392,2,1
438,2,1
488,2,1
538,2,1
584,2,1
634,2,1
684,2,1
730,2,1
780,2,1
830,2,1
876,2,1
926,2,1
976,2,1
1022,2,1
1072,2,1
1122,2,1
1168,2,1
1218,2,1
1268,2,1
1314,2,1
1364,2,1
1414,2,1
1460,2,1
1510,2,1
1560,2,1
1606,2,1
1656,2,1
1706,2,1
1752,2,1
1802,2,1
1852,2,1
1898,2,1
1948,2,1
1998,2,1
2044,2,1
2094,2,1
2144,2,1
2190,2,1
2240,2,1
2290,2,1
2336,2,1
2386,2,1
2436,2,1
2482,2,1
2532,2,1
2582,2,1
2628,2,1
2678,2,1
2728,2,1
2774,2,1
2824,2,1
2874,2,1
2920,2,1
2970,2,1
3020,2,1
3066,2,1
3116,2,1
3166,2,1
3212,2,1
3262,2,1
3312,2,1
3358,2,1
3408,2,1
3458,2,1
3504,2,1
3554,2,1
3604,2,1
3650,2,1
3700,2,1
3750,2,1
3796,2,1
3846,2,1
3896,2,1
3942,2,1
3992,2,1
4042,2,1
