~iteration~,metric_loss,total_loss
0,0.08069109916687012,0.08069109916687012
50,-0.14425396919250488,-0.14425396919250488
100,-0.08609294891357422,-0.08609294891357422
146,-0.36090001463890076,-0.36090001463890076
196,-0.2299225777387619,-0.2299225777387619
246,-0.2850421071052551,-0.2850421071052551
292,-0.18574778735637665,-0.18574778735637665
342,-0.3698682188987732,-0.3698682188987732
392,-0.3736431896686554,-0.3736431896686554
438,-0.32271894812583923,-0.32271894812583923
488,-0.37746432423591614,-0.37746432423591614
538,-0.3208877742290497,-0.3208877742290497
584,-0.41381198167800903,-0.41381198167800903
634,-0.25534114241600037,-0.25534114241600037
684,-0.3480061888694763,-0.3480061888694763
730,-0.42029568552970886,-0.42029568552970886
780,-0.39936545491218567,-0.39936545491218567
830,-0.39303937554359436,-0.39303937554359436
876,-0.403511643409729,-0.403511643409729
926,-0.3936520516872406,-0.3936520516872406
976,-0.392918199300766,-0.392918199300766
1022,-0.42537909746170044,-0.42537909746170044
1072,-0.374123215675354,-0.374123215675354
1122,-0.3832925260066986,-0.3832925260066986
1168,-0.3585319221019745,-0.3585319221019745
1218,-0.26731443405151367,-0.26731443405151367
1268,-0.45964252948760986,-0.45964252948760986
1314,-0.4062592387199402,-0.4062592387199402
1364,-0.35030126571655273,-0.35030126571655273
1414,-0.3925718069076538,-0.3925718069076538
1460,-0.46307361125946045,-0.46307361125946045
1510,-0.33463054895401,-0.33463054895401
1560,-0.3908536434173584,-0.3908536434173584
1606,-0.3273279666900635,-0.3273279666900635
1656,-0.48426875472068787,-0.48426875472068787
1706,-0.4719778895378113,-0.4719778895378113
