~iteration~,metric_loss,total_loss
0,0.04590509459376335,0.04590509459376335
50,-0.02852429635822773,-0.02852429635822773
100,-0.005627528764307499,-0.005627528764307499
146,-0.09242121130228043,-0.09242121130228043
196,-0.06761381030082703,-0.06761381030082703
246,-0.07769680768251419,-0.07769680768251419
292,-0.052450355142354965,-0.052450355142354965
342,-0.10985666513442993,-0.10985666513442993
392,-0.11411905288696289,-0.11411905288696289
438,-0.10502749681472778,-0.10502749681472778
488,-0.10345105826854706,-0.10345105826854706
538,-0.08471117913722992,-0.08471117913722992
584,-0.12445707619190216,-0.12445707619190216
634,-0.04217357188463211,-0.04217357188463211
684,-0.11034777015447617,-0.11034777015447617
730,-0.12490401417016983,-0.12490401417016983
780,-0.1022462323307991,-0.1022462323307991
830,-0.10083911567926407,-0.10083911567926407
876,-0.11553438007831573,-0.11553438007831573
926,-0.1127917692065239,-0.1127917692065239
976,-0.11379177868366241,-0.11379177868366241
1022,-0.11380873620510101,-0.11380873620510101
1072,-0.11997035890817642,-0.11997035890817642
1122,-0.10721486806869507,-0.10721486806869507
1168,-0.10267193615436554,-0.10267193615436554
1218,-0.09669885784387589,-0.09669885784387589
1268,-0.12647685408592224,-0.12647685408592224
1314,-0.10830490291118622,-0.10830490291118622
1364,-0.07496774941682816,-0.07496774941682816
1414,-0.12301481515169144,-0.12301481515169144
1460,-0.1408817023038864,-0.1408817023038864
1510,-0.11561111360788345,-0.11561111360788345
1560,-0.12328542023897171,-0.12328542023897171
1606,-0.11606059968471527,-0.11606059968471527
1656,-0.13795845210552216,-0.13795845210552216
1706,-0.13491851091384888,-0.13491851091384888
1752,-0.11415917426347733,-0.11415917426347733
1802,-0.14414669573307037,-0.14414669573307037
1852,-0.1137775182723999,-0.1137775182723999
1898,-0.13351121544837952,-0.13351121544837952
1948,-0.10542988777160645,-0.10542988777160645
1998,-0.11937222629785538,-0.11937222629785538
2044,-0.13694772124290466,-0.13694772124290466
2094,-0.11074572056531906,-0.11074572056531906
2144,-0.12764953076839447,-0.12764953076839447
2190,-0.12103109061717987,-0.12103109061717987
2240,-0.1408037394285202,-0.1408037394285202
2290,-0.13265366852283478,-0.13265366852283478
2336,-0.1363195925951004,-0.1363195925951004
2386,-0.057809486985206604,-0.057809486985206604
2436,-0.10636018216609955,-0.10636018216609955
2482,-0.11809742450714111,-0.11809742450714111
2532,-0.14381182193756104,-0.14381182193756104
2582,-0.13044682145118713,-0.13044682145118713
2628,-0.13334441184997559,-0.13334441184997559
2678,-0.14279961585998535,-0.14279961585998535
2728,-0.14013631641864777,-0.14013631641864777
2774,-0.13231498003005981,-0.13231498003005981
2824,-0.12092848867177963,-0.12092848867177963
2874,-0.11070669442415237,-0.11070669442415237
2920,-0.12966784834861755,-0.12966784834861755
2970,-0.142578125,-0.142578125
3020,-0.13180924952030182,-0.13180924952030182
3066,-0.1373385190963745,-0.1373385190963745
3116,-0.14973944425582886,-0.14973944425582886
3166,-0.13899993896484375,-0.13899993896484375
3212,-0.10895910114049911,-0.10895910114049911
3262,-0.10897304862737656,-0.10897304862737656
3312,-0.11913514137268066,-0.11913514137268066
3358,-0.10963375866413116,-0.10963375866413116
3408,-0.13108456134796143,-0.13108456134796143
3458,-0.1111263707280159,-0.1111263707280159
