~iteration~,metric_loss,total_loss
0,0.04256131872534752,0.04256131872534752
50,-0.07204549759626389,-0.07204549759626389
100,-0.04070369154214859,-0.04070369154214859
146,-0.18581631779670715,-0.18581631779670715
196,-0.11925241351127625,-0.11925241351127625
246,-0.145783931016922,-0.145783931016922
292,-0.09457822144031525,-0.09457822144031525
342,-0.1934189796447754,-0.1934189796447754
392,-0.19733954966068268,-0.19733954966068268
438,-0.17050600051879883,-0.17050600051879883
488,-0.19391611218452454,-0.19391611218452454
538,-0.16034971177577972,-0.16034971177577972
584,-0.21755263209342957,-0.21755263209342957
634,-0.13292886316776276,-0.13292886316776276
684,-0.18065465986728668,-0.18065465986728668
730,-0.21927134692668915,-0.21927134692668915
780,-0.20419679582118988,-0.20419679582118988
830,-0.19953738152980804,-0.19953738152980804
876,-0.20763003826141357,-0.20763003826141357
926,-0.20140433311462402,-0.20140433311462402
976,-0.20355452597141266,-0.20355452597141266
1022,-0.22091037034988403,-0.22091037034988403
1072,-0.19919578731060028,-0.19919578731060028
1122,-0.19622178375720978,-0.19622178375720978
1168,-0.1855197548866272,-0.1855197548866272
1218,-0.14346358180046082,-0.14346358180046082
1268,-0.23615732789039612,-0.23615732789039612
1314,-0.2104136198759079,-0.2104136198759079
1364,-0.17369399964809418,-0.17369399964809418
1414,-0.2050366848707199,-0.2050366848707199
1460,-0.24016723036766052,-0.24016723036766052
1510,-0.17898154258728027,-0.17898154258728027
1560,-0.20520365238189697,-0.20520365238189697
1606,-0.17967994511127472,-0.17967994511127472
1656,-0.25220346450805664,-0.25220346450805664
1706,-0.2480439990758896,-0.2480439990758896
1752,-0.20246870815753937,-0.20246870815753937
1802,-0.2548036575317383,-0.2548036575317383
1852,-0.21981441974639893,-0.21981441974639893
1898,-0.2477063685655594,-0.2477063685655594
1948,-0.19150620698928833,-0.19150620698928833
1998,-0.2170129269361496,-0.2170129269361496
