~iteration~,metric_loss,total_loss
0,0.08027806133031845,0.08027806133031845
50,-0.23846668004989624,-0.23846668004989624
100,-0.18524400889873505,-0.18524400889873505
146,-0.7253724336624146,-0.7253724336624146
196,-0.3732501268386841,-0.3732501268386841
246,-0.5872958302497864,-0.5872958302497864
292,-0.338448703289032,-0.338448703289032
342,-0.6783319115638733,-0.6783319115638733
392,-0.5640305280685425,-0.5640305280685425
438,-0.5557093620300293,-0.5557093620300293
488,-0.7632038593292236,-0.7632038593292236
538,-0.8141317963600159,-0.8141317963600159
584,-0.5049411654472351,-0.5049411654472351
634,-0.5882025957107544,-0.5882025957107544
684,-0.7488459944725037,-0.7488459944725037
730,-0.6847572326660156,-0.6847572326660156
780,-0.8572526574134827,-0.8572526574134827
830,-0.8518996834754944,-0.8518996834754944
876,-0.7187641859054565,-0.7187641859054565
926,-0.7124422192573547,-0.7124422192573547
976,-0.8222131133079529,-0.8222131133079529
1022,-0.5846771597862244,-0.5846771597862244
1072,-0.7153347134590149,-0.7153347134590149
1122,-0.7910563349723816,-0.7910563349723816
1168,-0.7920771837234497,-0.7920771837234497
1218,-0.26322269439697266,-0.26322269439697266
1268,-0.806753396987915,-0.806753396987915
1314,-0.6267161965370178,-0.6267161965370178
1364,-0.7748426795005798,-0.7748426795005798
1414,-0.7757605314254761,-0.7757605314254761
