~iteration~,metric_loss,total_loss
0,0.04376239329576492,0.04376239329576492
50,-0.05472089350223541,-0.05472089350223541
100,-0.02607817016541958,-0.02607817016541958
146,-0.14423725008964539,-0.14423725008964539
196,-0.10007462650537491,-0.10007462650537491
246,-0.11763829737901688,-0.11763829737901688
292,-0.07773873209953308,-0.07773873209953308
342,-0.1612216830253601,-0.1612216830253601
392,-0.1658608615398407,-0.1658608615398407
438,-0.14533351361751556,-0.14533351361751556
488,-0.15663018822669983,-0.15663018822669983
538,-0.126364603638649,-0.126364603638649
584,-0.18102222681045532,-0.18102222681045532
634,-0.09403223544359207,-0.09403223544359207
684,-0.1513369381427765,-0.1513369381427765
730,-0.18093150854110718,-0.18093150854110718
780,-0.16100096702575684,-0.16100096702575684
830,-0.15970434248447418,-0.15970434248447418
876,-0.1699664443731308,-0.1699664443731308
926,-0.16297036409378052,-0.16297036409378052
976,-0.1679776906967163,-0.1679776906967163
1022,-0.17715120315551758,-0.17715120315551758
1072,-0.17058169841766357,-0.17058169841766357
1122,-0.15928804874420166,-0.15928804874420166
1168,-0.15271757543087006,-0.15271757543087006
1218,-0.1267770528793335,-0.1267770528793335
1268,-0.18958036601543427,-0.18958036601543427
1314,-0.16847743093967438,-0.16847743093967438
1364,-0.1324232518672943,-0.1324232518672943
1414,-0.17357787489891052,-0.17357787489891052
1460,-0.20113247632980347,-0.20113247632980347
1510,-0.1584828943014145,-0.1584828943014145
1560,-0.173444926738739,-0.173444926738739
1606,-0.15888749063014984,-0.15888749063014984
1656,-0.20674867928028107,-0.20674867928028107
1706,-0.20436091721057892,-0.20436091721057892
1752,-0.17040829360485077,-0.17040829360485077
1802,-0.2120521515607834,-0.2120521515607834
1852,-0.17824813723564148,-0.17824813723564148
1898,-0.20232872664928436,-0.20232872664928436
1948,-0.16162389516830444,-0.16162389516830444
1998,-0.1806870996952057,-0.1806870996952057
