~iteration~,metric_loss,total_loss
0,1,1
50,1,1
100,1,1
146,1,1
196,1,1
246,1,1
292,1,1
342,1,1
392,1,1
438,1,1
488,1,1
538,1,1
584,1,1
634,1,1
684,1,1
730,1,1
780,1,1
830,1,1
876,1,1
926,1,1
976,1,1
1022,1,1
1072,1,1
1122,1,1
1168,1,1
1218,1,1
1268,1,1
1314,1,1
1364,1,1
1414,1,1
1460,1,1
1510,1,1
1560,1,1
1606,1,1
1656,1,1
1706,1,1
1752,1,1
1802,1,1
1852,1,1
1898,1,1
1948,1,1
1998,1,1
2044,1,1
2094,1,1
2144,1,1
2190,1,1
2240,1,1
2290,1,1
2336,1,1
2386,1,1
2436,1,1
2482,1,1
2532,1,1
2582,1,1
2628,1,1
2678,1,1
2728,1,1
2774,1,1
2824,1,1
2874,1,1
2920,1,1
2970,1,1
3020,1,1
