~iteration~,metric_loss,total_loss
0,0.0612349808216095,0.0612349808216095
50,-0.02401481568813324,-0.02401481568813324
100,-0.1149149164557457,-0.1149149164557457
146,-0.0038951460737735033,-0.0038951460737735033
196,-0.18066416680812836,-0.18066416680812836
246,-0.16657455265522003,-0.16657455265522003
292,-0.13604779541492462,-0.13604779541492462
342,-0.13270094990730286,-0.13270094990730286
392,-0.18418115377426147,-0.18418115377426147
438,-0.09026177227497101,-0.09026177227497101
488,-0.15411874651908875,-0.15411874651908875
538,-0.18761537969112396,-0.18761537969112396
584,-0.1019326001405716,-0.1019326001405716
634,-0.18317517638206482,-0.18317517638206482
684,-0.1719949096441269,-0.1719949096441269
730,-0.21675416827201843,-0.21675416827201843
780,-0.23047684133052826,-0.23047684133052826
830,-0.22058464586734772,-0.22058464586734772
876,-0.19045120477676392,-0.19045120477676392
926,-0.12547244131565094,-0.12547244131565094
976,-0.18914468586444855,-0.18914468586444855
1022,-0.21076600253582,-0.21076600253582
1072,-0.23096543550491333,-0.23096543550491333
1122,-0.20955917239189148,-0.20955917239189148
1168,-0.17911909520626068,-0.17911909520626068
1218,-0.20417378842830658,-0.20417378842830658
1268,-0.19729474186897278,-0.19729474186897278
1314,-0.19090621173381805,-0.19090621173381805
1364,-0.22076185047626495,-0.22076185047626495
1414,-0.20878738164901733,-0.20878738164901733
1460,-0.22634640336036682,-0.22634640336036682
1510,-0.18333669006824493,-0.18333669006824493
1560,-0.2182547003030777,-0.2182547003030777
