~iteration~,metric_loss,total_loss
0,0.08475083112716675,0.08475083112716675
50,-0.1975819170475006,-0.1975819170475006
100,-0.431441992521286,-0.431441992521286
146,-0.16171416640281677,-0.16171416640281677
196,-0.7644486427307129,-0.7644486427307129
246,-0.6262480020523071,-0.6262480020523071
292,-0.6213513016700745,-0.6213513016700745
342,-0.5271714329719543,-0.5271714329719543
392,-0.6604697108268738,-0.6604697108268738
438,-0.4130903482437134,-0.4130903482437134
488,-0.6141698360443115,-0.6141698360443115
538,-0.653350293636322,-0.653350293636322
584,-0.5034777522087097,-0.5034777522087097
634,-0.6867615580558777,-0.6867615580558777
684,-0.6016492247581482,-0.6016492247581482
730,-0.7891102433204651,-0.7891102433204651
780,-0.8224310278892517,-0.8224310278892517
830,-0.7768428921699524,-0.7768428921699524
876,-0.7418667078018188,-0.7418667078018188
926,-0.5322392582893372,-0.5322392582893372
976,-0.6591485738754272,-0.6591485738754272
1022,-0.756799042224884,-0.756799042224884
1072,-0.7817452549934387,-0.7817452549934387
1122,-0.7212390303611755,-0.7212390303611755
1168,-0.6915620565414429,-0.6915620565414429
1218,-0.7840731739997864,-0.7840731739997864
1268,-0.7230138778686523,-0.7230138778686523
1314,-0.7614268660545349,-0.7614268660545349
1364,-0.7621452212333679,-0.7621452212333679
1414,-0.7906190752983093,-0.7906190752983093
